timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1672319873929,97,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,97,0,0
1672319874026,94,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,94,0,0
1672319874026,95,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,95,0,0
1672319874121,97,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,97,0,0
1672319874120,99,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,99,0,0
1672319874219,97,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3079,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,97,0,0
1672319874218,98,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3079,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,98,0,0
1672319874316,101,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,101,0,0
1672319874316,101,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,101,0,0
1672319874417,99,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,99,0,0
1672319874417,102,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,102,0,0
1672319874516,100,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,100,0,0
1672319874520,97,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,97,0,0
1672319874617,97,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,96,0,0
1672319874617,99,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,99,0,0
1672319874717,101,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,101,0,0
1672319874714,104,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,104,0,0
1672319874818,95,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,95,0,0
1672319874818,95,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,95,0,0
1672319874914,105,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3079,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,104,0,0
1672319874914,109,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3079,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,109,0,0
1672319875019,98,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,98,0,0
1672319875023,99,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,99,0,0
1672319875117,101,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,101,0,0
1672319875123,97,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,97,0,0
1672319875218,104,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,104,0,0
1672319875221,101,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,101,0,0
1672319875322,100,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,100,0,0
1672319875322,102,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,102,0,0
1672319875424,98,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,98,0,0
1672319875423,99,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,99,0,0
1672319875522,104,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,104,0,0
1672319875522,106,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,106,0,0
1672319875628,101,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,101,0,0
1672319875730,100,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,100,0,0
1672319875830,98,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,98,0,0
1672319875627,384,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,384,0,0
1672319875928,96,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,96,0,0
1672319876011,105,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,105,0,0
1672319876024,117,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,117,0,0
1672319876116,99,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,99,0,0
1672319876142,112,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,112,0,0
1672319876215,99,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,99,0,0
1672319876255,97,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,97,0,0
1672319876314,100,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,100,0,0
1672319876352,99,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,99,0,0
1672319876414,99,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,99,0,0
1672319876451,99,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,99,0,0
1672319876513,99,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,99,0,0
1672319876550,99,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,99,0,0
1672319876612,98,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,98,0,0
1672319876649,102,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3079,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,101,0,0
1672319876710,100,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,100,0,0
1672319876751,120,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,120,0,0
1672319876811,95,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,95,0,0
1672319876872,95,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,95,0,0
1672319876906,96,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,96,0,0
1672319876967,97,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,97,0,0
1672319877002,105,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,105,0,0
1672319877064,100,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,100,0,0
1672319877107,97,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,97,0,0
1672319877164,96,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,96,0,0
1672319877204,101,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,101,0,0
1672319877260,98,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,98,0,0
1672319877306,113,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,113,0,0
1672319877358,97,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,97,0,0
1672319877420,105,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,105,0,0
1672319877456,97,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,97,0,0
1672319877525,98,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,98,0,0
1672319877553,105,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,105,0,0
1672319877623,104,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,104,0,0
1672319877658,98,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3079,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,98,0,0
1672319877728,98,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,98,0,0
1672319877756,101,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,101,0,0
1672319877826,97,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,97,0,0
1672319877858,111,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,111,0,0
1672319877924,97,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,164,2,2,https://p3udacityduyyugi-appservice.azurewebsites.net/api/Activities,97,0,0
